android.provider,java.security.cert,android.view,android.graphics,java.nio.channels,android.util,android.bluetooth,android.gesture,android.service.dreams,java.net,android.widget,java.util.concurrent,android.app,java.sql,android.media,android.os,javax.net.ssl,android.net,android.nfc,android.view.inputmethod,android.media.midi,javax.security.auth,javax.xml.datatype,java.util,android,android.database,android.text.style,android.telephony,android.hardware.fingerprint,android.print,android.graphics.drawable,dalvik.bytecode,android.preference,java.io,android.test.suitebuilder.annotation,android.net.wifi.p2p,java.security,android.renderscript,android.speech.tts,android.security.keystore,android.text,java.nio.charset,java.lang,android.view.accessibility,android.media.audiofx,android.content,android.media.session,android.animation,javax.crypto.spec,java.security.spec,java.lang.reflect,javax.crypto,android.hardware,android.text.method,android.accessibilityservice,android.webkit,android.content.pm,android.telecom,android.service.restrictions,java.util.zip,android.app.backup,android.net.nsd,android.content.res,android.net.wifi.p2p.nsd,javax.xml.transform,android.location,android.service.voice,android.net.wifi,android.view.animation,java.math,android.drm,javax.xml.transform.sax,java.util.logging,android.media.effect,android.graphics.pdf,android.speech,java.text,org.xml.sax.helpers,org.w3c.dom,android.hardware.usb,android.nfc.cardemulation,javax.sql,java.awt.font,android.service.wallpaper,java.security.interfaces,javax.xml.transform.stream,android.media.projection,android.media.browse,java.util.concurrent.locks,android.accounts,java.util.jar,java.security.acl,android.text.format,android.bluetooth.le,android.test,dalvik.annotation,android.app.job,android.opengl,org.json,android.transition,javax.xml.namespace,android.hardware.input,android.hardware.camera2,android.net.http,javax.xml.validation,javax.microedition.khronos.opengles,junit.framework,org.xml.sax,com.android.internal.util,android.service.carrier,android.media.tv,android.inputmethodservice,android.sax,org.w3c.dom.ls,android.security,javax.xml.xpath,org.xml.sax.ext,android.hardware.display,junit.runner,android.graphics.drawable.shapes,java.util.concurrent.atomic,android.view.textservice,dalvik.system,org.apache.http.conn.ssl,android.telephony.cdma,javax.xml.parsers,android.app.usage,java.nio,java.lang.ref,javax.security.auth.callback,javax.net,android.nfc.tech,javax.crypto.interfaces,android.annotation,android.database.sqlite,android.printservice,javax.microedition.khronos.egl,android.net.sip,java.util.prefs,android.os.storage,java.lang.annotation,javax.security.cert,android.system,android.app.assist,android.text.util,java.nio.charset.spi,android.test.mock,android.app.admin,android.service.notification,android.print.pdf,android.telephony.gsm,android.net.rtp,javax.xml.transform.dom,android.service.chooser,java.beans,javax.security.auth.login,android.hardware.camera2.params,org.apache.http.params,android.appwidget,android.test.suitebuilder,java.util.regex,android.service.media,javax.security.auth.x500,android.mtp,javax.xml,org.xmlpull.v1,java.nio.channels.spi,org.apache.http.conn.scheme,android.service.textservice,org.apache.http.conn,org.xmlpull.v1.sax2,mw_name,label
0.0,0.0,35.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,30.0,2.0,52.0,0.0,2.0,72.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,63.0,0.0,12.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,14.0,1.0,766.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0007c43e45430610fb0e933545bd927d9c8078380aaa0a518ce807bb9e098903,1
0.0,0.0,605.0,33.0,0.0,158.0,0.0,0.0,0.0,0.0,154.0,3.0,84.0,0.0,2.0,250.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,72.0,0.0,10.0,0.0,0.0,21.0,0.0,31.0,319.0,0.0,0.0,5.0,0.0,0.0,0.0,61.0,1.0,1994.0,56.0,0.0,355.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,17.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0010cc30886b77d922de3230a0df16de11463b5be79ce4a0d5cd26d655be0348,1
0.0,0.0,2.0,6.0,0.0,54.0,0.0,0.0,0.0,2.0,1.0,0.0,31.0,0.0,4.0,25.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,105.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,85.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,729.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,001887865a02b4646a321f0a56c0a8dfc56a6eb900e5a227bd84b30aa369b6e2,1
9.0,12.0,1232.0,294.0,0.0,366.0,0.0,0.0,0.0,108.0,406.0,63.0,142.0,0.0,69.0,1310.0,25.0,34.0,0.0,0.0,0.0,0.0,0.0,1545.0,0.0,114.0,0.0,8.0,3.0,10.0,105.0,0.0,0.0,725.0,0.0,0.0,15.0,0.0,7.0,0.0,59.0,13.0,6815.0,202.0,0.0,413.0,47.0,13.0,0.0,0.0,87.0,0.0,0.0,2.0,6.0,6.0,17.0,0.0,0.0,50.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,42.0,0.0,1.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,002ef1caca9d5e567660e6f6001d39863c526bfa292a764ff241c08503956fb2,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,27.0,0.0,0.0,70.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,72.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,557.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00384b95c20580679bc2219f64ac043c4d27eb2bf19df878de741721be365b0a,1
0.0,3.0,26.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0,2.0,42.0,0.0,2.0,65.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,63.0,0.0,12.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,1.0,687.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,005072c70f338d39ab5a7c16e2dbd39034d9d96430ff8331253a6381851291e1,1
0.0,0.0,5.0,13.0,0.0,5.0,0.0,0.0,0.0,71.0,195.0,0.0,43.0,0.0,2.0,27.0,14.0,6.0,0.0,1.0,0.0,0.0,0.0,766.0,0.0,89.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,29.0,1780.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00540946e2bab81d700523cff1a088e96793e881131d1f7ba998519354a5fdba,1
9.0,0.0,1853.0,483.0,0.0,461.0,0.0,0.0,0.0,36.0,875.0,42.0,197.0,0.0,70.0,1328.0,0.0,33.0,0.0,3.0,0.0,0.0,0.0,1174.0,0.0,81.0,2.0,18.0,3.0,10.0,333.0,0.0,0.0,457.0,0.0,0.0,0.0,0.0,7.0,0.0,104.0,0.0,4565.0,219.0,0.0,573.0,47.0,25.0,0.0,0.0,104.0,0.0,0.0,3.0,6.0,110.0,34.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0,0.0,10.0,0.0,0.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,005d0dfd721f18e8e4d81441f485d4134bed73c5bf5411487f14dd0d2e89d92e,1
0.0,0.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,70.0,3.0,0.0,28.0,0.0,0.0,14.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,1283.0,0.0,51.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,0.0,37.0,0.0,0.0,0.0,4.0,8.0,4030.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0065c588194dff58afd673578c33d5b88b6cea9f91a46cbb78a27609c831ed0f,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,007c7323b6e1204d1b88e477918b3c52b6eb82fc533026ca97e9e48cd817c333,1
